,global_mean_beta,global_var_beta,frac_hypermethylated,frac_hypomethylated,methylation_entropy,cimp_score,cimp_high
TCGA-RD-A8N0-01A,0.5030301213264465,0.13148748874664307,0.41940793009628957,0.3795759053872963,2.9979882977492975,0.24406498670578003,0
TCGA-D7-A6EZ-01A,0.5954952836036682,0.12005273252725601,0.5103119824970688,0.2560504780669415,2.8942572968803124,0.4726284444332123,1
TCGA-BR-A4IZ-01A,0.49821558594703674,0.1288546472787857,0.4069643780550867,0.37098387206931205,3.0175033183491795,0.28903621435165405,0
TCGA-D7-6820-01A,0.45222100615501404,0.12224947661161423,0.32647188385811693,0.4057927296406956,3.030069602756867,0.2240133285522461,0
TCGA-B7-A5TI-01A,0.46899351477622986,0.1259024739265442,0.3549451978271757,0.3918331278653157,3.0196851413268364,0.3141239583492279,1
TCGA-BR-A453-01A,0.5079531073570251,0.12727421522140503,0.41244825920028183,0.3595708875734011,3.0351347355620186,0.2916601002216339,0
TCGA-BR-8592-01A,0.5117860436439514,0.12087031453847885,0.40043121891052685,0.3374957272516487,3.0795199064020475,0.31078124046325684,1
TCGA-D7-6520-01A,0.4377923905849457,0.1247454434633255,0.3215078582215771,0.43504269947840307,3.004217777571472,0.19493655860424042,0
TCGA-B7-A5TN-01A,0.44184255599975586,0.1227920725941658,0.31608719680687747,0.42317224439668405,3.0225098477638603,0.36034855246543884,1
TCGA-D7-6524-01A,0.4850669205188751,0.11616052687168121,0.3553964884645677,0.3532257909599093,3.1121091556404603,0.29545673727989197,0
TCGA-HU-A4HD-01A,0.47258424758911133,0.1311360001564026,0.3761611634070214,0.39939806677293876,2.9582522432873,0.332099050283432,1
TCGA-CD-A48A-01A,0.5199577212333679,0.13565196096897125,0.4478361928496118,0.37155180676698935,2.9255906143159436,0.41823282837867737,1
TCGA-BR-A4IY-01A,0.5205540657043457,0.11775088310241699,0.4006977391857886,0.30661981917464864,3.0472454162342104,0.3434036672115326,1
TCGA-BR-8286-01A,0.48098012804985046,0.12347132712602615,0.3529067070342066,0.37020289571990134,3.0488423991970106,0.41935649514198303,1
TCGA-BR-8589-01A,0.5986097455024719,0.11802880465984344,0.4924674379231154,0.2468204230495681,2.894054837832691,0.4329896569252014,1
TCGA-D7-A6EV-01A,0.47706571221351624,0.1241127997636795,0.3547404027575757,0.37695447668954934,3.0293076825346574,0.36723941564559937,1
TCGA-VQ-AA6A-01A,0.4143913984298706,0.11773204058408737,0.2942533351617137,0.4740361823417635,3.0411603439202,0.274105966091156,0
TCGA-HU-8244-01A,0.46433454751968384,0.1444808393716812,0.3891232937064122,0.45586209734618244,2.8224495715651106,0.37620142102241516,1
TCGA-VQ-A8DV-01A,0.4181051552295685,0.12072350829839706,0.29552037690011457,0.45504148163447966,2.9911956512501185,0.2753540575504303,0
TCGA-VQ-A91U-01A,0.42066553235054016,0.12067446112632751,0.29981570071968006,0.46347691571330235,3.0276641676373774,0.24590852856636047,0
TCGA-BR-8369-01A,0.4823428988456726,0.11714110523462296,0.3430447954034914,0.35369428715454,3.087269058412733,0.3458406627178192,1
TCGA-FP-7916-01A,0.531116247177124,0.10886481404304504,0.3917807295529634,0.2808716298872054,3.1204111255559126,0.356428861618042,1
TCGA-HU-A4H5-01A,0.38946646451950073,0.11626644432544708,0.2593661065845386,0.48599534780970205,2.9691704275822888,0.24892884492874146,0
TCGA-HU-A4GX-01A,0.5279638171195984,0.13234572112560272,0.4496233209896038,0.34180245618145794,2.945144793833849,0.38910818099975586,1
TCGA-VQ-A94T-01A,0.4865114390850067,0.1407567411661148,0.41360737591457386,0.4169937710104805,2.878558915445624,0.32116854190826416,1
TCGA-BR-4183-11A,0.26687589287757874,0.10318508744239807,0.1679498942833207,0.668807595643675,2.451974334288631,0.3037518858909607,1
