,MLH1_promoter_mean,MLH1_promoter_max,CDH1_promoter_mean,CDH1_promoter_max,CDKN2A_promoter_mean,CDKN2A_promoter_max,MGMT_promoter_mean,MGMT_promoter_max,BRCA1_promoter_mean,BRCA1_promoter_max
TCGA-RD-A8N0-01A,0.038145777148505054,0.053227026015520096,0.4845536947250366,0.7216280102729797,0.2385574821382761,0.5408298969268799,0.01448434079065919,0.01580512709915638,0.04446982033550739,0.053327448666095734
TCGA-D7-A6EZ-01A,0.04130769691740473,0.08470308780670166,0.7238233089447021,0.7745349407196045,0.550294041633606,0.7802209854125977,0.01382580865174532,0.016358889639377594,0.04272671788930893,0.054184067994356155
TCGA-BR-A4IZ-01A,0.04108725907281041,0.10012205690145493,0.49479283889134723,0.7565798759460449,0.285531597211957,0.7144328355789185,0.011898673605173826,0.013788102194666862,0.05827178992331028,0.08472609519958496
TCGA-D7-6820-01A,0.06955265626311302,0.17251288890838623,0.48263312379519147,0.7460529804229736,0.3824443407356739,0.6291560530662537,0.013324853964149952,0.014994155615568161,0.05398719944059849,0.06925477832555771
TCGA-B7-A5TI-01A,0.03961928002536297,0.06203167885541916,0.5452255507310232,0.8524209260940552,0.3782079145312309,0.7324292659759521,0.012802358716726303,0.015335517935454845,0.03732664883136749,0.03913174197077751
TCGA-BR-A453-01A,0.23782569666703543,0.32698994874954224,0.5383792718251547,0.7977427840232849,0.34535374864935875,0.6933832168579102,0.20120979845523834,0.2993212938308716,0.04774587322026491,0.0661005899310112
TCGA-BR-8592-01A,0.043100439788152776,0.07795850932598114,0.5912492275238037,0.817941427230835,0.4312160685658455,0.7709574699401855,0.04593919776380062,0.06770592927932739,0.04719608463346958,0.062027715146541595
TCGA-D7-6520-01A,0.04394006604949633,0.06310587376356125,0.5490681603550911,0.8855282664299011,0.3732928584019343,0.5924002528190613,0.013798518106341362,0.015620768070220947,0.049540188163518906,0.0653027594089508
TCGA-B7-A5TN-01A,0.04113153430322806,0.08298895508050919,0.46786631147066754,0.9397720098495483,0.45665019378066063,0.7293155789375305,0.013060285709798336,0.015140237286686897,0.35149869322776794,0.38801494240760803
TCGA-D7-6524-01A,0.04128757119178772,0.05399163067340851,0.5095386803150177,0.6801162958145142,0.37575502693653107,0.5365720987319946,0.012925573624670506,0.01362014189362526,0.051375177688896656,0.07160995155572891
TCGA-HU-A4HD-01A,0.027595222741365433,0.04022151604294777,0.6942411959171295,0.8349733352661133,0.38741204142570496,0.6907454133033752,0.016039832029491663,0.02252352423965931,0.08501600474119186,0.13833223283290863
TCGA-CD-A48A-01A,0.04622177251925071,0.06730402261018753,0.7774534622828165,0.9255368113517761,0.7228846848011017,0.7571030855178833,0.016515929251909256,0.016611846163868904,0.046531883999705315,0.05280360206961632
TCGA-BR-A4IY-01A,0.02261592634022236,0.037057843059301376,0.7075665593147278,0.82086580991745,0.5227104648947716,0.6604946255683899,0.01200875360518694,0.01645110361278057,0.033904075622558594,0.033904075622558594
TCGA-BR-8286-01A,0.03769014170393348,0.06168697029352188,0.7218770186106364,0.8509452939033508,0.3718376662582159,0.658052921295166,0.5466078817844391,0.5763015747070312,0.04987430386245251,0.06734075397253036
TCGA-BR-8589-01A,0.03628943379347523,0.05860520526766777,0.7111155788103739,0.7529488801956177,0.6622735410928726,0.9133188128471375,0.013543229550123215,0.015706712380051613,0.04614335484802723,0.056293223053216934
TCGA-D7-A6EV-01A,0.5347321232159933,0.6306025981903076,0.6784441669782003,0.7775155305862427,0.39422954991459846,0.5424202680587769,0.012136757373809814,0.013980326242744923,0.04383754823356867,0.056968796998262405
TCGA-VQ-AA6A-01A,0.04453215220322212,0.07870075851678848,0.677718828121821,0.8780156373977661,0.5685839951038361,0.8179049491882324,0.013760172761976719,0.015048923902213573,0.05433117225766182,0.07212819159030914
TCGA-HU-8244-01A,0.12416983318204682,0.5556871294975281,0.8890406688054403,0.9539366960525513,0.5602898187935352,0.8714913725852966,0.016074538230895996,0.018574608489871025,0.048090722411870956,0.06404087692499161
TCGA-VQ-A8DV-01A,0.03750156797468662,0.06732577830553055,0.5413581108053526,0.7874190807342529,0.4231860637664795,0.6956712007522583,0.015000668819993734,0.01719778962433338,0.049567900598049164,0.05845421552658081
TCGA-VQ-A91U-01A,0.03963470800469319,0.054946042597293854,0.5756318420171738,0.8870571255683899,0.4253832995891571,0.8387022018432617,0.011713493149727583,0.01200163271278143,0.050039440393447876,0.06691989302635193
TCGA-BR-8369-01A,0.40842970212300617,0.5034039616584778,0.6520243684450785,0.8315781354904175,0.3725944757461548,0.7363349795341492,0.012607671786099672,0.01435221079736948,0.04164004139602184,0.054781168699264526
